date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,female,fully_vaccinated,1,1,8805,11.36,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,female,partially_vaccinated,5,5,157567,3.17,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,female,not_vaccinated,57,57,4221016,1.35,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,female,unknown,3787,3787,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,male,fully_vaccinated,0,0,6553,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,male,partially_vaccinated,3,3,120143,2.5,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,male,not_vaccinated,50,50,4195271,1.19,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,male,unknown,3297,3297,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,unknown,partially_vaccinated,0,0,32,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,female,fully_vaccinated,1,2,28210,3.54,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,female,partially_vaccinated,20,25,175941,11.37,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,female,not_vaccinated,83,140,4183237,1.98,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,female,unknown,5148,8935,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,male,fully_vaccinated,2,2,18640,10.73,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,male,partially_vaccinated,9,12,138745,6.49,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,male,not_vaccinated,87,137,4164582,2.09,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,male,unknown,4735,8032,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,partially_vaccinated,0,0,40,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
