date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202101,AG,age,3,indication,694072,3,0,0.75,75,50,0,0,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202102,AG,age,2,indication,694072,5,0,0.143,14.299999999999999,25,0,0,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202103,AG,age,4,indication,694072,9,0,0.024,2.4,4.9,0,0,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202104,AG,age,499,indication,694072,508,0.1,0.646,64.60000000000001,53,0.07,0.07,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202105,AG,age,1590,indication,694072,2098,0.3,0.616,61.6,59.3,0.23,0.3,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202106,AG,age,1470,indication,694072,3568,0.5,0.575,57.49999999999999,58.599999999999994,0.21,0.51,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202107,AG,age,3588,indication,694072,7156,1,0.679,67.9,62.9,0.52,1.03,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202108,AG,age,3620,indication,694072,10776,1.6,0.555,55.50000000000001,60.199999999999996,0.52,1.55,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202109,AG,age,2893,indication,694072,13669,2,0.486,48.6,57.3,0.42,1.97,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202110,AG,age,1903,indication,694072,15572,2.2,0.406,40.6,54.6,0.27,2.24,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202111,AG,age,2133,indication,694072,17705,2.6,0.413,41.3,52.5,0.31,2.55,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202112,AG,age,4463,indication,694072,22168,3.2,0.53,53,52.6,0.64,3.19,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202113,AG,age,3533,indication,694072,25701,3.7,0.556,55.60000000000001,53,0.51,3.7,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202114,AG,age,4062,indication,694072,29763,4.3,0.456,45.6,51.9,0.59,4.29,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
202115,AG,age,2033,indication,694072,31796,4.6,0.316,31.6,49.8,0.29,4.58,COVID19FullyVaccPersons,2021-11-10_08-01-30,detailed
