type_variant,type,entries,geoRegion,datum,date_unit,version
,COVID19CT_Iso,16544,CHFL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,11653,CHFL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,CHFL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_reporting_cantons,21,CHFL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,16432,CH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,11534,CH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,CH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_reporting_cantons,21,CH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,1175,AG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,64,AI,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,230,AR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,2014,BE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,689,BL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,112,FL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,345,FR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,842,GE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,140,GL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,679,GR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,66,JU,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,1136,LU,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,176,NE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,220,NW,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,1683,SG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,209,SH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,1129,SZ,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,851,TG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,233,TI,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,1030,VD,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,415,VS,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Iso,274,ZG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,829,AG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,35,AI,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,128,AR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,1512,BE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,428,BL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,119,FL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,331,FR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,339,GE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,47,GL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,1033,GR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,103,JU,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,1242,LU,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,183,NE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,208,NW,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,893,SG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,121,SH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,1075,SZ,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,1165,TG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,477,TI,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,844,VD,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,282,VS,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Qua,259,ZG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,AG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,AI,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,AR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,BE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,BL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,FL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,FR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,GE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,GL,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,GR,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,JU,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,LU,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,NE,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,NW,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,SG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,SH,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,SZ,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,TG,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,TI,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,VD,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,VS,2021-11-10,day,2021-11-10_07-50-19
,COVID19CT_Entry,NA,ZG,2021-11-10,day,2021-11-10_07-50-19
