date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202053,AG,vaccination_centre,244,location,694072,244,NA,0.996,99.6,99.2,0.04,0.04,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202101,AG,vaccination_centre,2279,location,694072,2523,NA,0.903,90.3,91.10000000000001,0.33,0.36,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202102,AG,vaccination_centre,2775,location,694072,5298,NA,0.794,79.4,84.6,0.4,0.76,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202103,AG,vaccination_centre,4739,location,694072,10037,NA,0.768,76.8,80.7,0.68,1.45,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202104,AG,vaccination_centre,4027,location,694072,14064,NA,0.636,63.6,74.9,0.58,2.03,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202105,AG,vaccination_centre,5210,location,694072,19274,NA,0.601,60.099999999999994,70.3,0.75,2.78,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202106,AG,vaccination_centre,6329,location,694072,25603,NA,0.821,82.1,72.89999999999999,0.91,3.69,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202107,AG,vaccination_centre,9703,location,694072,35306,NA,0.873,87.3,76.3,1.4,5.09,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202108,AG,vaccination_centre,11766,location,694072,47072,NA,0.79,79,77,1.7,6.78,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202109,AG,vaccination_centre,10742,location,694072,57814,NA,0.782,78.2,77.2,1.55,8.33,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202110,AG,vaccination_centre,11996,location,694072,69810,NA,0.882,88.2,78.9,1.73,10.06,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202111,AG,vaccination_centre,10296,location,694072,80106,NA,0.975,97.5,80.9,1.48,11.54,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202112,AG,vaccination_centre,16170,location,694072,96276,NA,0.985,98.5,83.39999999999999,2.33,13.87,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202113,AG,vaccination_centre,15446,location,694072,111722,NA,0.984,98.4,85.2,2.23,16.1,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202114,AG,vaccination_centre,19502,location,694072,131224,NA,0.935,93.5,86.3,2.81,18.91,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202115,AG,vaccination_centre,24045,location,694072,155269,NA,0.955,95.5,87.6,3.46,22.37,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202116,AG,vaccination_centre,27379,location,694072,182648,NA,0.916,91.60000000000001,88.2,3.94,26.32,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202117,AG,vaccination_centre,23247,location,694072,205895,NA,0.932,93.2,88.7,3.35,29.66,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202118,AG,vaccination_centre,29593,location,694072,235488,NA,0.853,85.3,88.3,4.26,33.93,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202119,AG,vaccination_centre,27876,location,694072,263364,NA,0.853,85.3,87.9,4.02,37.94,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202120,AG,vaccination_centre,30032,location,694072,293396,NA,0.779,77.9,86.8,4.33,42.27,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202121,AG,vaccination_centre,33261,location,694072,326657,NA,0.813,81.3,86.2,4.79,47.06,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202122,AG,vaccination_centre,44120,location,694072,370777,NA,0.86,86,86.2,6.36,53.42,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202123,AG,vaccination_centre,43764,location,694072,414541,NA,0.878,87.8,86.4,6.31,59.73,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202124,AG,vaccination_centre,35660,location,694072,450201,NA,0.843,84.3,86.2,5.14,64.86,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202125,AG,vaccination_centre,29363,location,694072,479564,NA,0.816,81.6,85.9,4.23,69.09,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202126,AG,vaccination_centre,29815,location,694072,509379,NA,0.853,85.3,85.9,4.3,73.39,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202127,AG,vaccination_centre,32671,location,694072,542050,NA,0.914,91.4,86.2,4.71,78.1,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202128,AG,vaccination_centre,27662,location,694072,569712,NA,0.939,93.89999999999999,86.5,3.99,82.08,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202129,AG,vaccination_centre,17409,location,694072,587121,NA,0.911,91.10000000000001,86.7,2.51,84.59,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202130,AG,vaccination_centre,13275,location,694072,600396,NA,0.902,90.2,86.7,1.91,86.5,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202131,AG,vaccination_centre,11038,location,694072,611434,NA,0.862,86.2,86.7,1.59,88.09,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202132,AG,vaccination_centre,9447,location,694072,620881,NA,0.844,84.39999999999999,86.7,1.36,89.45,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202133,AG,vaccination_centre,10292,location,694072,631173,NA,0.852,85.2,86.7,1.48,90.94,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202134,AG,vaccination_centre,12967,location,694072,644140,NA,0.861,86.1,86.6,1.87,92.81,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202135,AG,vaccination_centre,12721,location,694072,656861,NA,0.858,85.8,86.6,1.83,94.64,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202136,AG,vaccination_centre,15189,location,694072,672050,NA,0.879,87.9,86.7,2.19,96.83,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202137,AG,vaccination_centre,16518,location,694072,688568,NA,0.852,85.2,86.6,2.38,99.21,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202138,AG,vaccination_centre,13354,location,694072,701922,NA,0.819,81.89999999999999,86.5,1.92,101.13,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202139,AG,vaccination_centre,12177,location,694072,714099,NA,0.831,83.1,86.5,1.75,102.89,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202140,AG,vaccination_centre,12439,location,694072,726538,NA,0.916,91.60000000000001,86.6,1.79,104.68,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202141,AG,vaccination_centre,12267,location,694072,738805,NA,0.891,89.1,86.6,1.77,106.45,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202142,AG,vaccination_centre,8612,location,694072,747417,NA,0.801,80.10000000000001,86.5,1.24,107.69,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202143,AG,vaccination_centre,6391,location,694072,753808,NA,0.776,77.60000000000001,86.4,0.92,108.61,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202144,AG,vaccination_centre,4725,location,694072,758533,NA,0.799,79.9,86.4,0.68,109.29,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202052,AG,nursing_home,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202053,AG,nursing_home,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202101,AG,nursing_home,242,location,694072,242,NA,0.096,9.6,8.7,0.03,0.03,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202102,AG,nursing_home,720,location,694072,962,NA,0.206,20.599999999999998,15.4,0.1,0.14,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202103,AG,nursing_home,1423,location,694072,2385,NA,0.231,23.1,19.2,0.21,0.34,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202104,AG,nursing_home,2295,location,694072,4680,NA,0.363,36.3,24.9,0.33,0.67,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202105,AG,nursing_home,3440,location,694072,8120,NA,0.397,39.7,29.599999999999998,0.5,1.17,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202106,AG,nursing_home,1376,location,694072,9496,NA,0.178,17.8,27,0.2,1.37,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202107,AG,nursing_home,1385,location,694072,10881,NA,0.125,12.5,23.5,0.2,1.57,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202108,AG,nursing_home,3116,location,694072,13997,NA,0.209,20.9,22.900000000000002,0.45,2.02,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202109,AG,nursing_home,2952,location,694072,16949,NA,0.215,21.5,22.6,0.43,2.44,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202110,AG,nursing_home,1581,location,694072,18530,NA,0.116,11.600000000000001,20.9,0.23,2.67,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202111,AG,nursing_home,264,location,694072,18794,NA,0.025,2.5,19,0.04,2.71,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
