date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,348814,2,0,0,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.25,25
202053,AG,male,56,sex,348814,58,0.02,0.02,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.299,29.9
202101,AG,male,1187,sex,348814,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.475,47.5
202102,AG,male,1532,sex,348814,2777,0.44,0.8,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.45,45
202103,AG,male,2863,sex,348814,5640,0.82,1.62,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.458,45.800000000000004
202104,AG,male,2381,sex,348814,8021,0.68,2.3,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.421,42.1
202105,AG,male,2373,sex,348814,10394,0.68,2.98,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.4,40
202106,AG,male,2016,sex,348814,12410,0.58,3.56,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.399,39.900000000000006
202107,AG,male,2399,sex,348814,14809,0.69,4.25,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.457,45.7
202108,AG,male,3865,sex,348814,18674,1.11,5.35,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.475,47.5
202109,AG,male,3628,sex,348814,22302,1.04,6.39,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.463,46.300000000000004
202110,AG,male,4040,sex,348814,26342,1.16,7.55,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.463,46.300000000000004
202111,AG,male,2445,sex,348814,28787,0.7,8.25,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.464,46.400000000000006
202112,AG,male,3807,sex,348814,32594,1.09,9.34,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.474,47.4
202113,AG,male,4515,sex,348814,37109,1.29,10.64,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.475,47.5
202114,AG,male,5716,sex,348814,42825,1.64,12.28,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.467,46.7
202115,AG,male,8049,sex,348814,50874,2.31,14.58,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.429,42.9
202116,AG,male,10790,sex,348814,61664,3.09,17.68,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.49,49
202117,AG,male,7557,sex,348814,69221,2.17,19.84,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.48,48
202118,AG,male,11584,sex,348814,80805,3.32,23.17,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.495,49.5
202119,AG,male,8774,sex,348814,89579,2.52,25.68,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.475,47.5
202120,AG,male,8992,sex,348814,98571,2.58,28.26,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.493,49.3
202121,AG,male,12776,sex,348814,111347,3.66,31.92,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.517,51.7
202122,AG,male,14696,sex,348814,126043,4.21,36.13,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.538,53.800000000000004
202123,AG,male,17590,sex,348814,143633,5.04,41.18,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.547,54.7
202124,AG,male,14536,sex,348814,158169,4.17,45.34,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.557,55.7
202125,AG,male,7614,sex,348814,165783,2.18,47.53,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.534,53.400000000000006
202126,AG,male,5034,sex,348814,170817,1.44,48.97,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.514,51.4
202127,AG,male,2971,sex,348814,173788,0.85,49.82,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.521,52.1
202128,AG,male,2865,sex,348814,176653,0.82,50.64,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.52,52
202129,AG,male,2440,sex,348814,179093,0.7,51.34,COVID19AtLeastOneDosePersons,2021-11-10_08-01-30,detailed,0.51,51
