date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,125,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-01-28,moderna,fully_vaccinated,0,0,176,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-01-29,moderna,fully_vaccinated,0,0,184,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-01-30,moderna,fully_vaccinated,0,0,184,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-01-31,moderna,fully_vaccinated,0,0,184,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-01,moderna,fully_vaccinated,0,0,199,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-02,moderna,fully_vaccinated,0,0,226,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-03,moderna,fully_vaccinated,0,0,292,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-04,moderna,fully_vaccinated,0,0,395,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-05,moderna,fully_vaccinated,0,0,436,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-06,moderna,fully_vaccinated,0,0,437,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-07,moderna,fully_vaccinated,0,0,438,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-08,moderna,fully_vaccinated,0,0,466,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-09,moderna,fully_vaccinated,0,0,517,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-02-10,moderna,fully_vaccinated,0,0,814,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
