date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,0 - 9,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,0 - 9,partially_vaccinated,0,0,15,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,0 - 9,not_vaccinated,0,0,880567,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,10 - 19,fully_vaccinated,0,0,50,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,10 - 19,partially_vaccinated,0,0,989,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,10 - 19,not_vaccinated,0,0,852336,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,20 - 29,fully_vaccinated,0,0,394,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,20 - 29,partially_vaccinated,0,0,7682,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,20 - 29,not_vaccinated,0,0,1034541,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,20 - 29,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,30 - 39,fully_vaccinated,0,0,698,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,30 - 39,partially_vaccinated,0,0,12102,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,30 - 39,not_vaccinated,0,0,1235440,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,30 - 39,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,40 - 49,fully_vaccinated,0,0,1041,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,40 - 49,partially_vaccinated,0,0,16393,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,40 - 49,not_vaccinated,1,1,1189471,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,40 - 49,unknown,1,1,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,50 - 59,fully_vaccinated,0,0,1569,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,50 - 59,partially_vaccinated,0,0,25038,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
