date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202101,AG,age,3,indication,694072,3,0,0.75,75,42.9,0,0,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202102,AG,age,2,indication,694072,5,0,0.143,14.299999999999999,23.799999999999997,0,0,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202103,AG,age,4,indication,694072,9,0,0.024,2.4,4.8,0,0,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202104,AG,age,504,indication,694072,513,0.1,0.652,65.2,53.5,0.07,0.07,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202105,AG,age,1612,indication,694072,2125,0.3,0.624,62.4,60,0.23,0.31,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202106,AG,age,1490,indication,694072,3615,0.5,0.582,58.199999999999996,59.199999999999996,0.21,0.52,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202107,AG,age,3629,indication,694072,7244,1,0.687,68.7,63.6,0.52,1.04,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202108,AG,age,3646,indication,694072,10890,1.6,0.559,55.900000000000006,60.8,0.53,1.57,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202109,AG,age,2915,indication,694072,13805,2,0.49,49,57.8,0.42,1.99,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202110,AG,age,1934,indication,694072,15739,2.3,0.412,41.199999999999996,55.1,0.28,2.27,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202111,AG,age,2169,indication,694072,17908,2.6,0.42,42,53.1,0.31,2.58,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202112,AG,age,4526,indication,694072,22434,3.2,0.536,53.6,53.2,0.65,3.23,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202113,AG,age,3588,indication,694072,26022,3.7,0.564,56.39999999999999,53.6,0.52,3.75,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202114,AG,age,4136,indication,694072,30158,4.3,0.465,46.5,52.5,0.6,4.35,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202115,AG,age,2063,indication,694072,32221,4.6,0.321,32.1,50.5,0.3,4.64,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202116,AG,age,2380,indication,694072,34601,5,0.289,28.9,48,0.34,4.99,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202117,AG,age,1597,indication,694072,36198,5.2,0.164,16.400000000000002,44.2,0.23,5.22,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202118,AG,age,2526,indication,694072,38724,5.6,0.208,20.8,41.199999999999996,0.36,5.58,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202119,AG,age,1847,indication,694072,40571,5.8,0.128,12.8,37.4,0.27,5.85,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202120,AG,age,1564,indication,694072,42135,6.1,0.073,7.3,32.4,0.23,6.07,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202121,AG,age,874,indication,694072,43009,6.2,0.05,5,29.2,0.13,6.2,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202122,AG,age,2122,indication,694072,45131,6.5,0.082,8.200000000000001,26,0.31,6.5,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202123,AG,age,1558,indication,694072,46689,6.7,0.08,8,24.2,0.22,6.73,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
202124,AG,age,1513,indication,694072,48202,6.9,0.085,8.5,22.900000000000002,0.22,6.94,COVID19FullyVaccPersons,2021-11-25_07-51-54,detailed
