date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202053,AG,vaccination_centre,246,location,694072,246,NA,0.996,99.6,99.2,0.04,0.04,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202101,AG,vaccination_centre,2281,location,694072,2527,NA,0.903,90.3,91.10000000000001,0.33,0.36,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202102,AG,vaccination_centre,2779,location,694072,5306,NA,0.794,79.4,84.6,0.4,0.76,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202103,AG,vaccination_centre,4741,location,694072,10047,NA,0.768,76.8,80.7,0.68,1.45,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202104,AG,vaccination_centre,4029,location,694072,14076,NA,0.636,63.6,75,0.58,2.03,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202105,AG,vaccination_centre,5212,location,694072,19288,NA,0.602,60.199999999999996,70.3,0.75,2.78,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202106,AG,vaccination_centre,6334,location,694072,25622,NA,0.821,82.1,72.89999999999999,0.91,3.69,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202107,AG,vaccination_centre,9708,location,694072,35330,NA,0.873,87.3,76.3,1.4,5.09,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202108,AG,vaccination_centre,11769,location,694072,47099,NA,0.79,79,77,1.7,6.79,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202109,AG,vaccination_centre,10744,location,694072,57843,NA,0.782,78.2,77.2,1.55,8.33,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202110,AG,vaccination_centre,12003,location,694072,69846,NA,0.882,88.2,78.9,1.73,10.06,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202111,AG,vaccination_centre,10298,location,694072,80144,NA,0.974,97.39999999999999,80.9,1.48,11.55,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202112,AG,vaccination_centre,16175,location,694072,96319,NA,0.984,98.4,83.39999999999999,2.33,13.88,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202113,AG,vaccination_centre,15449,location,694072,111768,NA,0.983,98.3,85.2,2.23,16.1,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202114,AG,vaccination_centre,19505,location,694072,131273,NA,0.934,93.4,86.3,2.81,18.91,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202115,AG,vaccination_centre,24051,location,694072,155324,NA,0.955,95.5,87.6,3.47,22.38,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202116,AG,vaccination_centre,27382,location,694072,182706,NA,0.915,91.5,88.2,3.95,26.32,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202117,AG,vaccination_centre,23248,location,694072,205954,NA,0.932,93.2,88.7,3.35,29.67,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202118,AG,vaccination_centre,29594,location,694072,235548,NA,0.852,85.2,88.3,4.26,33.94,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202119,AG,vaccination_centre,27878,location,694072,263426,NA,0.853,85.3,87.9,4.02,37.95,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202120,AG,vaccination_centre,30040,location,694072,293466,NA,0.779,77.9,86.8,4.33,42.28,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
202121,AG,vaccination_centre,33262,location,694072,326728,NA,0.813,81.3,86.2,4.79,47.07,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed
