date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,348814,0,0,0,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202053,AG,male,79,sex,348814,79,0.02,0.02,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.32,32
202101,AG,male,1192,sex,348814,1271,0.34,0.36,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.472,47.199999999999996
202102,AG,male,1546,sex,348814,2817,0.44,0.81,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.442,44.2
202103,AG,male,2809,sex,348814,5626,0.81,1.61,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.455,45.5
202104,AG,male,2643,sex,348814,8269,0.76,2.37,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.417,41.699999999999996
202105,AG,male,3528,sex,348814,11797,1.01,3.38,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.407,40.699999999999996
202106,AG,male,3280,sex,348814,15077,0.94,4.32,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.425,42.5
202107,AG,male,5040,sex,348814,20117,1.44,5.77,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.453,45.300000000000004
202108,AG,male,6573,sex,348814,26690,1.88,7.65,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.441,44.1
202109,AG,male,5995,sex,348814,32685,1.72,9.37,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.436,43.6
202110,AG,male,6065,sex,348814,38750,1.74,11.11,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.446,44.6
202111,AG,male,4806,sex,348814,43556,1.38,12.49,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.455,45.5
202112,AG,male,7754,sex,348814,51310,2.22,14.71,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.472,47.199999999999996
