date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,348814,2,0,0,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.25,25
202053,AG,male,55,sex,348814,57,0.02,0.02,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.294,29.4
202101,AG,male,1188,sex,348814,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.475,47.5
202102,AG,male,1538,sex,348814,2783,0.44,0.8,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.45,45
202103,AG,male,2864,sex,348814,5647,0.82,1.62,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.458,45.800000000000004
202104,AG,male,2383,sex,348814,8030,0.68,2.3,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.422,42.199999999999996
202105,AG,male,2373,sex,348814,10403,0.68,2.98,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.4,40
202106,AG,male,2019,sex,348814,12422,0.58,3.56,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.4,40
202107,AG,male,2400,sex,348814,14822,0.69,4.25,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.456,45.6
202108,AG,male,3873,sex,348814,18695,1.11,5.36,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.475,47.5
202109,AG,male,3630,sex,348814,22325,1.04,6.4,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.463,46.300000000000004
202110,AG,male,4042,sex,348814,26367,1.16,7.56,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.463,46.300000000000004
202111,AG,male,2444,sex,348814,28811,0.7,8.26,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.464,46.400000000000006
202112,AG,male,3808,sex,348814,32619,1.09,9.35,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.474,47.4
202113,AG,male,4517,sex,348814,37136,1.29,10.65,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.475,47.5
202114,AG,male,5721,sex,348814,42857,1.64,12.29,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.467,46.7
202115,AG,male,8051,sex,348814,50908,2.31,14.59,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.429,42.9
202116,AG,male,10791,sex,348814,61699,3.09,17.69,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.491,49.1
202117,AG,male,7554,sex,348814,69253,2.17,19.85,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.48,48
202118,AG,male,11589,sex,348814,80842,3.32,23.18,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.495,49.5
202119,AG,male,8790,sex,348814,89632,2.52,25.7,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.475,47.5
202120,AG,male,9011,sex,348814,98643,2.58,28.28,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.493,49.3
202121,AG,male,12792,sex,348814,111435,3.67,31.95,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.517,51.7
202122,AG,male,14712,sex,348814,126147,4.22,36.16,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.539,53.900000000000006
202123,AG,male,17596,sex,348814,143743,5.04,41.21,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.547,54.7
202124,AG,male,14553,sex,348814,158296,4.17,45.38,COVID19AtLeastOneDosePersons,2021-11-25_07-51-54,detailed,0.557,55.7
